labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min	LAT	LON
mul_spaS_048	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.783467	0.138836	0.040093	0.273161	0.173779	0.070577	36.98505	-1.875
mul_spaS_050	38.0516357421875	36.8745661658802	36.1758995056152	38.5395050048828	37.598549712558	36.1756019592285	38.0516357421875	36.9601816111598	36.319938659668	38.060661315918	36.9625177317652	36.3182182312012	27.9932270050049	19.2006885512122	13.8807821273804	27.0590991973877	19.0481028260856	13.9620351791382	0.770255	0.138007	0.040384	0.271626	0.173306	0.070806	37.079483	-1.842383
mul_spaS_052	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.770255	0.138007	0.040384	0.271626	0.173306	0.070806	37.002283	-1.861467
mul_spaS_057	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.783467	0.138836	0.040093	0.273161	0.173779	0.070577	36.9848167	-1.8872
mul_spaS_060	38.0529594421387	36.7904606194332	36.1748542785645	38.2274322509766	36.9259299090082	36.1742744445801	38.0529594421387	36.8906339184991	36.2226982116699	38.0547828674316	36.8902007968946	36.2226982116699	27.6322860717773	18.9753403060738	13.8105182647705	27.1914882659912	18.9478610400496	14.0461006164551	1.049809	0.161032	0.040809	0.404956	0.267908	0.085884	36.784217	-2.269867
mul_spaS_061	38.0529594421387	36.7904606194332	36.1748542785645	38.2274322509766	36.9259299090082	36.1742744445801	38.0529594421387	36.8906339184991	36.2226982116699	38.0547828674316	36.8902007968946	36.2226982116699	27.6322860717773	18.9753403060738	13.8105182647705	27.1914882659912	18.9478610400496	14.0461006164551	1.049809	0.161032	0.040809	0.404956	0.267908	0.085884	36.754267	-2.2689
mul_spaS_062	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.896583	-1.9808
mul_spaS_063	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.896583	-1.9808
mul_spaS_064	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.896583	-1.9808
mul_spaS_065	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.87085	-1.945233
